refYear,flowCode,partnerCode,primaryValue,iso3
2001,M,584,64.0,MHL
2001,M,586,192713211.0,PAK
2001,M,591,56131256.0,PAN
2001,M,598,12213294.0,PNG
2001,M,600,3129008.0,PRY
2001,M,604,45604922.0,PER
2001,M,608,93855342.0,PHL
2001,M,616,7538561.0,POL
2001,M,620,1549962.0,PRT
2001,M,626,1245821.0,TLS
2001,M,634,22005932.0,QAT
2001,M,642,7278115.0,ROU
2001,M,643,144788484.0,RUS
2001,M,646,6.0,RWA
2001,M,654,160109.0,SHN
2001,M,659,32853.0,KNA
2001,M,660,194525.0,AIA
2001,M,670,2214.0,VCT
2001,M,674,28562.0,SMR
2001,M,678,39077.0,STP
2001,M,682,1314135960.0,SAU
2001,M,686,61912.0,SEN
2001,M,690,2000000.0,SYC
2001,M,694,9445.0,SLE
2001,M,699,486258625.0,IND
2001,M,702,3147055261.0,SGP
2001,M,703,18521647.0,SVK
2001,M,704,171296340.0,VNM
2001,M,705,2194508.0,SVN
2001,M,710,141094302.0,ZAF
2001,M,716,16144051.0,ZWE
2001,M,724,178328981.0,ESP
2001,M,736,34442946.0,SDN
2001,M,740,90574.0,SUR
2001,M,748,4071046.0,SWZ
2001,M,752,248877715.0,SWE
2001,M,757,174479063.0,CHE
2001,M,760,14876582.0,SYR
2001,M,764,986047410.0,THA
2001,M,768,17849362.0,TGO
2001,M,772,50350.0,TKL
2001,M,780,268961.0,TTO
2001,M,784,173576222.0,ARE
2001,M,788,6895256.0,TUN
2001,M,792,28450585.0,TUR
2001,M,795,106878.0,TKM
2001,M,796,10566.0,TCA
2001,M,798,768.0,TUV
2001,M,800,3044368.0,UGA
2001,M,804,116487206.0,UKR
2001,M,807,23532.0,MKD
2001,M,818,15953731.0,EGY
2001,M,826,643004385.0,GBR
2001,M,834,12592084.0,TZA
2001,M,842,3209693176.0,USA
2001,M,854,3499257.0,BFA
2001,M,858,1471345.0,URY
2001,M,860,2955585.0,UZB
2001,M,862,7136686.0,VEN
2001,M,882,21732.0,WSM
2001,M,887,1001680.0,YEM
2001,M,891,666456.0,SCG
2001,X,0,56316866700.0,W00
2001,X,4,6528229.0,AFG
2001,X,8,905804.0,ALB
2001,X,12,47102698.0,DZA
2001,X,16,3128279.0,ASM
2001,X,20,76915.0,AND
2001,X,24,15867192.0,AGO
2001,X,28,891330.0,ATG
2001,X,31,175393.0,AZE
2001,X,32,72349475.0,ARG
2001,X,36,1842293640.0,AUS
2001,X,40,26720838.0,AUT
2001,X,44,549798.0,BHS
2001,X,48,17906172.0,BHR
2001,X,50,215607934.0,BGD
2001,X,51,144168.0,ARM
2001,X,52,1491150.0,BRB
2001,X,56,762157528.0,BEL
2001,X,60,470451.0,BMU
2001,X,64,104379.0,BTN
2001,X,68,460770.0,BOL
2001,X,70,243358.0,BIH
2001,X,72,350214.0,BWA
2001,X,76,201953132.0,BRA
2001,X,84,2931889.0,BLZ
2001,X,86,268706.0,IOT
2001,X,90,1469804.0,SLB
2001,X,92,847231.0,VGB
2001,X,96,21614878.0,BRN
2001,X,100,76505590.0,BGR
2001,X,104,68977623.0,MMR
2001,X,108,824166.0,BDI
2001,X,112,43361.0,BLR
2001,X,116,72128611.0,KHM
2001,X,120,7422924.0,CMR
2001,X,124,390156487.0,CAN
2001,X,132,621149.0,CPV
2001,X,136,16960592.0,CYM
2001,X,140,945710.0,CAF
2001,X,144,159472233.0,LKA
2001,X,152,85137796.0,CHL
2001,X,156,2200670391.0,CHN
2001,X,162,370540.0,CXR
2001,X,166,1611195.0,CCK
2001,X,170,34525027.0,COL
2001,X,174,2125849.0,COM
2001,X,178,14370634.0,COG
2001,X,180,4693548.0,COD
2001,X,184,836815.0,COK
2001,X,188,4978465.0,CRI
2001,X,191,2411890.0,HRV
2001,X,192,1463210.0,CUB
2001,X,196,16525349.0,CYP
2001,X,203,17024888.0,CZE
2001,X,204,14815754.0,BEN
2001,X,208,108812831.0,DNK
2001,X,212,656103.0,DMA
2001,X,214,14482319.0,DOM
2001,X,218,17926621.0,ECU
2001,X,222,6138302.0,SLV
2001,X,226,351134.0,GNQ
2001,X,231,6395286.0,ETH
2001,X,232,3100056.0,ERI
2001,X,233,2680952.0,EST
2001,X,234,2769772.0,FRO
2001,X,238,506332.0,FLK
2001,X,239,1297740.0,SGS
2001,X,242,13885134.0,FJI
2001,X,246,116144494.0,FIN
2001,X,251,674365502.0,FRA
2001,X,258,7282034.0,PYF
2001,X,262,14846672.0,DJI
2001,X,266,2830929.0,GAB
2001,X,268,5259982.0,GEO
2001,X,270,5784587.0,GMB
2001,X,275,1766626.0,PSE
2001,X,276,1296979295.0,DEU
2001,X,288,15980430.0,GHA
2001,X,292,74918.0,GIB
2001,X,296,395186.0,KIR
2001,X,300,94023530.0,GRC
2001,X,304,44407.0,GRL
2001,X,308,356200.0,GRD
2001,X,316,1289795.0,GUM
2001,X,320,11478660.0,GTM
2001,X,324,15127285.0,GIN
2001,X,328,912548.0,GUY
2001,X,332,4099586.0,HTI
2001,X,336,160106.0,VAT
2001,X,340,3736415.0,HND
2001,X,344,1290327580.0,HKG
2001,X,348,39819773.0,HUN
2001,X,352,1711494.0,ISL
2001,X,364,121497982.0,IRN
2001,X,368,82967498.0,IRQ
2001,X,372,66989576.0,IRL
2001,X,380,621844469.0,ITA
2001,X,384,17238063.0,CIV
2001,X,388,6090810.0,JAM
2001,X,392,13010175403.0,JPN
2001,X,398,1651795.0,KAZ
2001,X,400,68708573.0,JOR
2001,X,404,25181354.0,KEN
2001,X,408,3510383.0,PRK
2001,X,410,3772463005.0,KOR
2001,X,414,74509744.0,KWT
2001,X,417,864551.0,KGZ
2001,X,418,1438349.0,LAO
2001,X,422,40760526.0,LBN
2001,X,426,360889.0,LSO
2001,X,428,1073715.0,LVA
2001,X,430,1245501.0,LBR
2001,X,434,3210673.0,LBY
2001,X,440,5311072.0,LTU
2001,X,442,9918762.0,LUX
2001,X,446,3590678.0,MAC
2001,X,450,19004107.0,MDG
2001,X,454,572828.0,MWI
2001,X,458,1778626157.0,MYS
2001,X,462,11311373.0,MDV
2001,X,466,8692319.0,MLI
2001,X,470,2154046.0,MLT
2001,X,478,17510425.0,MRT
2001,X,480,36754039.0,MUS
